ANO,ENTIDAD,CLAVE MARCO GEOESTADISTICO NAL,MODALIDAD,TIPO,SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2002,AGUASCALIENTES,1,ROBO COMUN,CON VIOLENCIA,A NEGOCIO,22,2,11,6,6,2,4,26,3,1,1,4
2002,AGUASCALIENTES,1,ROBO COMUN,CON VIOLENCIA,DE VEHICULOS,2,0,4,1,0,1,3,2,0,3,4,2
2002,AGUASCALIENTES,1,ROBO COMUN,CON VIOLENCIA,A TRANSPORTISTAS,1,0,0,0,1,0,2,0,0,0,0,0
2002,AGUASCALIENTES,1,ROBO COMUN,CON VIOLENCIA,A TRANSEUNTES,10,10,6,13,8,4,10,8,6,5,1,3
2002,AGUASCALIENTES,1,ROBO COMUN,SIN VIOLENCIA,A NEGOCIO,22,58,44,60,30,35,40,37,61,67,45,43
2002,AGUASCALIENTES,1,ROBO COMUN,SIN VIOLENCIA,DE VEHICULOS,31,41,29,46,44,45,37,48,40,38,21,35
2002,AGUASCALIENTES,1,ROBO COMUN,SIN VIOLENCIA,A TRANSPORTISTAS,0,0,0,0,0,0,0,0,0,0,0,0
2002,AGUASCALIENTES,1,ROBO COMUN,SIN VIOLENCIA,A TRANSEUNTES,24,53,42,25,31,32,38,45,36,28,30,40
2002,BAJA CALIFORNIA,2,ROBO COMUN,CON VIOLENCIA,A NEGOCIO,202,167,115,134,125,122,122,105,117,118,101,138
2002,BAJA CALIFORNIA,2,ROBO COMUN,CON VIOLENCIA,DE VEHICULOS,2346,2079,2088,1641,1647,1727,1798,1805,1870,2123,1958,2302
2002,BAJA CALIFORNIA,2,ROBO COMUN,CON VIOLENCIA,A TRANSPORTISTAS,0,0,0,0,0,0,0,0,0,0,0,0
2002,BAJA CALIFORNIA,2,ROBO COMUN,CON VIOLENCIA,A TRANSEUNTES,0,0,0,0,0,0,0,0,0,0,0,0
2002,BAJA CALIFORNIA,2,ROBO COMUN,SIN VIOLENCIA,A NEGOCIO,0,0,0,0,0,0,0,0,0,0,0,0
2002,BAJA CALIFORNIA,2,ROBO COMUN,SIN VIOLENCIA,DE VEHICULOS,0,0,0,0,0,0,0,0,0,0,0,0
2002,BAJA CALIFORNIA,2,ROBO COMUN,SIN VIOLENCIA,A TRANSPORTISTAS,0,0,0,0,0,0,0,0,0,0,0,0
2002,BAJA CALIFORNIA,2,ROBO COMUN,SIN VIOLENCIA,A TRANSEUNTES,0,0,0,0,0,0,0,0,0,0,0,0
2002,BAJA CALIFORNIA SUR,3,ROBO COMUN,CON VIOLENCIA,A NEGOCIO,0,0,0,0,0,0,0,0,0,0,0,0
2002,BAJA CALIFORNIA SUR,3,ROBO COMUN,CON VIOLENCIA,DE VEHICULOS,0,0,0,0,0,0,0,0,0,0,0,0
2002,BAJA CALIFORNIA SUR,3,ROBO COMUN,CON VIOLENCIA,A TRANSPORTISTAS,0,0,0,0,0,0,0,0,0,0,0,0
2002,BAJA CALIFORNIA SUR,3,ROBO COMUN,CON VIOLENCIA,A TRANSEUNTES,0,0,0,0,0,0,0,0,0,0,0,0
2002,BAJA CALIFORNIA SUR,3,ROBO COMUN,SIN VIOLENCIA,A NEGOCIO,43,48,52,41,35,34,25,40,36,27,30,26
