Categoría: Todas las categorías

Mes,SPEI: (México)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,4
2004-10,0
2004-11,4
2004-12,0
2005-01,0
2005-02,0
2005-03,5
2005-04,0
2005-05,3
2005-06,3
2005-07,0
2005-08,3
2005-09,2
2005-10,0
2005-11,0
2005-12,3
2006-01,2
2006-02,0
2006-03,6
2006-04,2
2006-05,3
2006-06,2
2006-07,2
2006-08,3
2006-09,2
2006-10,4
2006-11,1
2006-12,2
2007-01,1
2007-02,1
2007-03,2
2007-04,2
2007-05,1
2007-06,2
2007-07,6
2007-08,51
2007-09,32
2007-10,7
2007-11,9
2007-12,6
2008-01,9
2008-02,8
2008-03,2
2008-04,2
2008-05,3
2008-06,4
2008-07,12
2008-08,24
2008-09,17
2008-10,15
2008-11,22
2008-12,31
2009-01,20
2009-02,13
2009-03,10
2009-04,8
2009-05,6
2009-06,4
2009-07,10
2009-08,12
2009-09,16
2009-10,23
2009-11,26
2009-12,28
2010-01,24
2010-02,20
2010-03,13
2010-04,10
2010-05,9
2010-06,9
2010-07,11
2010-08,20
2010-09,25
2010-10,27
2010-11,43
2010-12,58
2011-01,37
2011-02,29
2011-03,29
2011-04,28
2011-05,19
2011-06,14
2011-07,16
2011-08,13
2011-09,12
2011-10,12
2011-11,11
2011-12,16
2012-01,13
2012-02,10
2012-03,11
2012-04,10
2012-05,11
2012-06,10
2012-07,12
2012-08,12
2012-09,10
2012-10,10
2012-11,10
2012-12,12
2013-01,9
2013-02,9
2013-03,10
2013-04,11
2013-05,10
2013-06,9
2013-07,11
2013-08,14
2013-09,12
2013-10,12
2013-11,16
2013-12,17
2014-01,13
2014-02,12
2014-03,12
2014-04,12
2014-05,13
2014-06,14
2014-07,15
2014-08,13
2014-09,12
2014-10,12
2014-11,13
2014-12,15
2015-01,11
2015-02,11
2015-03,13
2015-04,13
2015-05,14
2015-06,13
2015-07,15
2015-08,15
2015-09,14
2015-10,13
2015-11,17
2015-12,22
2016-01,17
2016-02,15
2016-03,14
2016-04,15
2016-05,19
2016-06,18
2016-07,18
2016-08,18
2016-09,19
2016-10,17
2016-11,17
2016-12,23
2017-01,20
2017-02,20
2017-03,21
2017-04,18
2017-05,19
2017-06,21
2017-07,23
2017-08,21
2017-09,23
2017-10,21
2017-11,25
2017-12,34
2018-01,30
2018-02,26
2018-03,25
2018-04,56
2018-05,100
2018-06,49
2018-07,50
2018-08,49
2018-09,52
