Categoría: Todas las categorías

Mes,tef: (México)
2004-01,38
2004-02,34
2004-03,0
2004-04,36
2004-05,27
2004-06,0
2004-07,100
2004-08,26
2004-09,21
2004-10,44
2004-11,46
2004-12,26
2005-01,61
2005-02,39
2005-03,37
2005-04,36
2005-05,32
2005-06,49
2005-07,46
2005-08,46
2005-09,25
2005-10,24
2005-11,25
2005-12,81
2006-01,61
2006-02,23
2006-03,20
2006-04,35
2006-05,18
2006-06,35
2006-07,11
2006-08,40
2006-09,61
2006-10,37
2006-11,35
2006-12,41
2007-01,32
2007-02,36
2007-03,33
2007-04,20
2007-05,32
2007-06,30
2007-07,43
2007-08,26
2007-09,40
2007-10,33
2007-11,34
2007-12,48
2008-01,52
2008-02,36
2008-03,56
2008-04,28
2008-05,37
2008-06,32
2008-07,46
2008-08,37
2008-09,34
2008-10,28
2008-11,37
2008-12,33
2009-01,32
2009-02,38
2009-03,20
2009-04,20
2009-05,16
2009-06,9
2009-07,17
2009-08,15
2009-09,20
2009-10,10
2009-11,20
2009-12,13
2010-01,15
2010-02,9
2010-03,10
2010-04,9
2010-05,14
2010-06,19
2010-07,10
2010-08,15
2010-09,18
2010-10,12
2010-11,9
2010-12,20
2011-01,18
2011-02,12
2011-03,14
2011-04,17
2011-05,12
2011-06,14
2011-07,12
2011-08,14
2011-09,13
2011-10,11
2011-11,11
2011-12,11
2012-01,12
2012-02,12
2012-03,9
2012-04,9
2012-05,11
2012-06,11
2012-07,9
2012-08,7
2012-09,12
2012-10,9
2012-11,11
2012-12,14
2013-01,10
2013-02,6
2013-03,9
2013-04,11
2013-05,8
2013-06,9
2013-07,11
2013-08,7
2013-09,12
2013-10,12
2013-11,12
2013-12,13
2014-01,7
2014-02,13
2014-03,10
2014-04,9
2014-05,9
2014-06,10
2014-07,15
2014-08,10
2014-09,12
2014-10,11
2014-11,14
2014-12,13
2015-01,14
2015-02,11
2015-03,15
2015-04,11
2015-05,11
2015-06,10
2015-07,12
2015-08,19
2015-09,14
2015-10,15
2015-11,15
2015-12,16
2016-01,12
2016-02,14
2016-03,12
2016-04,18
2016-05,12
2016-06,13
2016-07,15
2016-08,17
2016-09,17
2016-10,12
2016-11,13
2016-12,13
2017-01,11
2017-02,10
2017-03,11
2017-04,10
2017-05,12
2017-06,15
2017-07,15
2017-08,8
2017-09,12
2017-10,11
2017-11,10
2017-12,11
2018-01,9
2018-02,10
2018-03,17
2018-04,10
2018-05,16
2018-06,13
2018-07,15
2018-08,14
2018-09,23
