Categoría: Todas las categorías

Mes,terminal punto de venta: (México)
2004-01,0
2004-02,0
2004-03,80
2004-04,70
2004-05,0
2004-06,0
2004-07,65
2004-08,100
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,70
2005-05,32
2005-06,65
2005-07,54
2005-08,30
2005-09,0
2005-10,24
2005-11,25
2005-12,58
2006-01,60
2006-02,34
2006-03,38
2006-04,23
2006-05,45
2006-06,19
2006-07,21
2006-08,18
2006-09,0
2006-10,51
2006-11,60
2006-12,26
2007-01,35
2007-02,35
2007-03,30
2007-04,13
2007-05,21
2007-06,54
2007-07,22
2007-08,28
2007-09,35
2007-10,65
2007-11,25
2007-12,20
2008-01,24
2008-02,23
2008-03,24
2008-04,17
2008-05,24
2008-06,18
2008-07,36
2008-08,33
2008-09,9
2008-10,16
2008-11,27
2008-12,24
2009-01,35
2009-02,15
2009-03,27
2009-04,29
2009-05,26
2009-06,18
2009-07,24
2009-08,24
2009-09,24
2009-10,19
2009-11,25
2009-12,25
2010-01,23
2010-02,18
2010-03,23
2010-04,22
2010-05,14
2010-06,24
2010-07,22
2010-08,39
2010-09,20
2010-10,30
2010-11,28
2010-12,31
2011-01,23
2011-02,22
2011-03,17
2011-04,15
2011-05,16
2011-06,28
2011-07,26
2011-08,25
2011-09,23
2011-10,29
2011-11,23
2011-12,14
2012-01,23
2012-02,30
2012-03,22
2012-04,19
2012-05,23
2012-06,24
2012-07,30
2012-08,19
2012-09,30
2012-10,32
2012-11,27
2012-12,28
2013-01,29
2013-02,25
2013-03,23
2013-04,34
2013-05,27
2013-06,30
2013-07,35
2013-08,28
2013-09,23
2013-10,38
2013-11,34
2013-12,31
2014-01,38
2014-02,36
2014-03,36
2014-04,31
2014-05,42
2014-06,25
2014-07,38
2014-08,45
2014-09,36
2014-10,35
2014-11,32
2014-12,29
2015-01,26
2015-02,32
2015-03,32
2015-04,33
2015-05,24
2015-06,27
2015-07,36
2015-08,28
2015-09,32
2015-10,32
2015-11,38
2015-12,38
2016-01,21
2016-02,27
2016-03,26
2016-04,22
2016-05,37
2016-06,29
2016-07,26
2016-08,30
2016-09,28
2016-10,23
2016-11,23
2016-12,30
2017-01,31
2017-02,31
2017-03,35
2017-04,31
2017-05,38
2017-06,27
2017-07,35
2017-08,35
2017-09,24
2017-10,44
2017-11,41
2017-12,37
2018-01,27
2018-02,31
2018-03,36
2018-04,28
2018-05,41
2018-06,33
2018-07,35
2018-08,40
2018-09,33
