Categoría: Todas las categorías

Mes,transferencia spei: (México)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,53
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,40
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,25
2007-09,46
2007-10,28
2007-11,0
2007-12,0
2008-01,14
2008-02,27
2008-03,14
2008-04,0
2008-05,12
2008-06,12
2008-07,13
2008-08,12
2008-09,11
2008-10,10
2008-11,11
2008-12,24
2009-01,10
2009-02,0
2009-03,9
2009-04,21
2009-05,9
2009-06,9
2009-07,24
2009-08,14
2009-09,8
2009-10,16
2009-11,22
2009-12,15
2010-01,9
2010-02,22
2010-03,8
2010-04,29
2010-05,12
2010-06,26
2010-07,17
2010-08,20
2010-09,8
2010-10,15
2010-11,27
2010-12,38
2011-01,39
2011-02,31
2011-03,19
2011-04,36
2011-05,32
2011-06,17
2011-07,13
2011-08,10
2011-09,17
2011-10,11
2011-11,11
2011-12,28
2012-01,17
2012-02,16
2012-03,32
2012-04,9
2012-05,13
2012-06,10
2012-07,20
2012-08,20
2012-09,15
2012-10,13
2012-11,26
2012-12,16
2013-01,10
2013-02,22
2013-03,24
2013-04,18
2013-05,15
2013-06,17
2013-07,25
2013-08,20
2013-09,17
2013-10,11
2013-11,26
2013-12,31
2014-01,14
2014-02,15
2014-03,18
2014-04,24
2014-05,13
2014-06,17
2014-07,42
2014-08,17
2014-09,19
2014-10,24
2014-11,45
2014-12,32
2015-01,25
2015-02,27
2015-03,23
2015-04,28
2015-05,28
2015-06,28
2015-07,36
2015-08,32
2015-09,35
2015-10,35
2015-11,40
2015-12,50
2016-01,27
2016-02,33
2016-03,31
2016-04,45
2016-05,35
2016-06,37
2016-07,30
2016-08,28
2016-09,37
2016-10,35
2016-11,25
2016-12,30
2017-01,28
2017-02,28
2017-03,35
2017-04,27
2017-05,27
2017-06,30
2017-07,41
2017-08,29
2017-09,42
2017-10,26
2017-11,48
2017-12,45
2018-01,44
2018-02,42
2018-03,52
2018-04,65
2018-05,100
2018-06,100
2018-07,93
2018-08,87
2018-09,88
