fecha,index_delictivo
01/01/02,27086
01/02/02,24429
01/03/02,24968
01/04/02,24815
01/05/02,24571
01/06/02,23717
01/07/02,24663
01/08/02,25211
01/09/02,23783
01/10/02,25430
01/11/02,23685
01/12/02,23676
01/01/03,24782
01/02/03,23570
01/03/03,24826
01/04/03,24142
01/05/03,25479
01/06/03,24462
01/07/03,25636
01/08/03,25282
01/09/03,25394
01/10/03,26026
01/11/03,23959
01/12/03,24117
01/01/04,23835
01/02/04,22987
01/03/04,25062
01/04/04,22812
01/05/04,24035
01/06/04,23411
01/07/04,22900
01/08/04,23556
01/09/04,23470
01/10/04,24988
01/11/04,25238
01/12/04,23330
01/01/05,24518
01/02/05,23472
01/03/05,24135
01/04/05,23640
01/05/05,23055
01/06/05,22458
01/07/05,22714
01/08/05,24655
01/09/05,23705
01/10/05,24407
01/11/05,23789
01/12/05,23354
01/01/06,23372
01/02/06,22309
01/03/06,25123
01/04/06,23137
01/05/06,24718
01/06/06,23653
01/07/06,23734
01/08/06,25059
01/09/06,24646
01/10/06,25413
01/11/06,25470
01/12/06,24784
01/01/07,25437
01/02/07,25140
01/03/07,27142
01/04/07,25256
01/05/07,27517
01/06/07,26827
01/07/07,27122
01/08/07,28093
01/09/07,28139
01/10/07,29562
01/11/07,28549
01/12/07,27615
01/01/08,30163
01/02/08,29245
01/03/08,29876
01/04/08,30426
01/05/08,31302
01/06/08,30612
01/07/08,31771
01/08/08,32391
01/09/08,32138
01/10/08,34270
01/11/08,31638
01/12/08,31778
01/01/09,34780
01/02/09,32504
01/03/09,34608
01/04/09,31647
01/05/09,33339
01/06/09,33435
01/07/09,34330
01/08/09,33342
01/09/09,33588
01/10/09,34986
01/11/09,33042
01/12/09,34747
01/01/10,35546
01/02/10,34977
01/03/10,38801
01/04/10,35153
01/05/10,36159
01/06/10,35724
01/07/10,36407
01/08/10,37593
01/09/10,37578
01/10/10,38933
01/11/10,38577
01/12/10,37455
01/01/11,38227
01/02/11,36448
01/03/11,40748
01/04/11,35255
01/05/11,38534
01/06/11,36929
01/07/11,37261
01/08/11,38420
01/09/11,38024
01/10/11,36365
01/11/11,35800
01/12/11,35025
01/01/12,34712
01/02/12,33764
01/03/12,35482
01/04/12,31945
01/05/12,33804
01/06/12,31141
01/07/12,32649
01/08/12,33588
01/09/12,31836
01/10/12,33521
01/11/12,32518
01/12/12,30517
01/01/13,32114
01/02/13,29450
01/03/13,30494
01/04/13,30792
01/05/13,30580
01/06/13,28363
01/07/13,30984
01/08/13,33347
01/09/13,29437
01/10/13,30684
01/11/13,29122
01/12/13,28568
01/01/14,28356
01/02/14,26542
01/03/14,27742
01/04/14,26104
01/05/14,27160
01/06/14,25179
01/07/14,26787
01/08/14,26819
01/09/14,26396
01/10/14,27409
01/11/14,25226
01/12/14,25015
01/01/15,25567
01/02/15,23900
01/03/15,25692
01/04/15,24054
01/05/15,24149
01/06/15,24637
01/07/15,24445
01/08/15,25100
01/09/15,25355
01/10/15,25698
01/11/15,25155
01/12/15,23969
01/01/16,22852
01/02/16,23585
01/03/16,24879
01/04/16,24634
01/05/16,25046
01/06/16,24045
01/07/16,24034
01/08/16,25362
01/09/16,27249
01/10/16,27715
01/11/16,27275
01/12/16,28818
01/01/17,30663
01/02/17,28281
01/03/17,30802
01/04/17,28297
01/05/17,31149
01/06/17,31769
01/07/17,31533
01/08/17,32352
01/09/17,30732
01/10/17,32965
01/11/17,31414
01/12/17,29607
